config,backend,broker,kind,n,workers,repeat,enqueue_sec,enqueue_rate,total_sec,throughput,latency_p50_ms,latency_p95_ms,latency_p99_ms,wait_p50_ms,workers_seen
celery-rabbitmq,celery,rabbitmq,cpu_small,1000,2,3,0.66,1514.4,27.232,36.7,13302.4,25207.4,26312.2,13254.9,2
celery-rabbitmq,celery,rabbitmq,cpu_small,1000,4,1,0.758,1318.6,16.551,60.4,7988.2,15003.6,15671.9,7933.1,4
celery-rabbitmq,celery,rabbitmq,cpu_small,1000,4,2,0.743,1346.1,14.934,67.0,7332.3,13534.5,14055.6,7271.3,4
celery-rabbitmq,celery,rabbitmq,cpu_small,1000,4,3,0.682,1465.5,15.003,66.7,7255.2,13635.5,14196.6,7203.3,4
celery-rabbitmq,celery,rabbitmq,io_sleep,1000,1,1,0.583,1715.0,59.577,16.8,29652.0,56087.8,58451.1,29601.8,1
celery-rabbitmq,celery,rabbitmq,io_sleep,1000,1,2,0.596,1677.9,59.104,16.9,29376.5,55511.8,57906.2,29326.2,1
celery-rabbitmq,celery,rabbitmq,io_sleep,1000,1,3,0.595,1681.5,59.024,16.9,29462.0,55764.4,57893.2,29411.7,1
celery-rabbitmq,celery,rabbitmq,io_sleep,1000,2,1,0.576,1735.4,29.351,34.1,14564.8,27385.3,28483.7,14514.5,2
celery-rabbitmq,celery,rabbitmq,io_sleep,1000,2,2,0.593,1687.8,29.304,34.1,14352.5,27228.0,28406.7,14302.2,2
celery-rabbitmq,celery,rabbitmq,io_sleep,1000,2,3,0.586,1707.2,29.475,33.9,14417.6,27442.1,28606.4,14367.3,2
celery-rabbitmq,celery,rabbitmq,io_sleep,1000,4,1,0.658,1519.1,14.489,69.0,6863.1,13138.5,13714.1,6812.9,4
celery-rabbitmq,celery,rabbitmq,io_sleep,1000,4,2,0.597,1674.3,14.697,68.0,7073.0,13398.1,13979.9,7022.8,4
celery-rabbitmq,celery,rabbitmq,io_sleep,1000,4,3,0.598,1672.2,14.557,68.7,7057.5,13309.0,13856.0,7007.2,4
rq-redis,rq,redis,noop,1000,1,1,0.422,2368.8,76.27,13.1,37829.9,71917.8,75078.1,37829.9,1
rq-redis,rq,redis,noop,1000,1,2,0.438,2283.1,75.95,13.2,37904.5,71825.2,74778.7,37904.5,1
rq-redis,rq,redis,noop,1000,1,3,0.428,2338.1,76.427,13.1,37956.9,71979.8,75097.7,37956.9,1
rq-redis,rq,redis,noop,1000,2,1,0.454,2203.1,40.423,24.7,20012.4,37991.9,39579.9,20012.4,2
rq-redis,rq,redis,noop,1000,2,2,0.487,2055.0,40.736,24.5,20245.6,38225.2,39812.7,20245.6,2
rq-redis,rq,redis,noop,1000,2,3,0.423,2365.1,41.181,24.3,20117.7,38773.1,40368.5,20117.7,2
rq-redis,rq,redis,noop,1000,4,1,0.53,1886.3,22.456,44.5,11117.9,20855.1,21713.0,11117.9,4
rq-redis,rq,redis,noop,1000,4,2,0.472,2117.8,22.616,44.2,10986.3,21012.8,21866.3,10986.3,4
rq-redis,rq,redis,noop,1000,4,3,0.492,2032.7,22.362,44.7,10934.0,20807.3,21681.9,10934.0,4
rq-redis,rq,redis,cpu_small,1000,1,1,0.553,1807.4,145.563,6.9,72498.4,137776.3,143576.9,72424.4,1
rq-redis,rq,redis,cpu_small,1000,1,2,0.47,2125.8,145.07,6.9,72302.7,137382.6,143146.0,72225.1,1
rq-redis,rq,redis,cpu_small,1000,1,3,0.417,2400.8,145.292,6.9,72253.3,137594.8,143319.1,72188.1,1
rq-redis,rq,redis,cpu_small,1000,2,1,0.421,2375.9,77.406,12.9,38489.4,73024.3,76192.0,38418.8,2
rq-redis,rq,redis,cpu_small,1000,2,2,0.421,2376.9,77.339,12.9,38576.4,73097.2,76133.2,38492.0,2
rq-redis,rq,redis,cpu_small,1000,2,3,0.449,2228.3,77.484,12.9,38672.9,73151.2,76275.8,38604.0,2
rq-redis,rq,redis,cpu_small,1000,4,1,0.54,1850.7,42.876,23.3,21377.9,40061.0,41777.1,21259.5,4
rq-redis,rq,redis,cpu_small,1000,4,2,0.464,2153.0,42.686,23.4,21000.5,40146.1,41806.5,20916.1,4
rq-redis,rq,redis,cpu_small,1000,4,3,0.456,2193.0,42.949,23.3,21229.1,40326.6,42070.3,21154.5,4
rq-redis,rq,redis,io_sleep,1000,1,1,0.412,2428.5,133.584,7.5,66603.9,126556.7,131878.6,66553.7,1
rq-redis,rq,redis,io_sleep,1000,1,2,0.429,2329.7,133.795,7.5,66932.3,126720.3,132033.9,66882.0,1
rq-redis,rq,redis,io_sleep,1000,1,3,0.399,2503.4,133.74,7.5,66369.3,126635.3,131964.7,66319.1,1
rq-redis,rq,redis,io_sleep,1000,2,1,0.483,2071.0,67.848,14.7,33581.9,63915.2,66675.8,33531.6,2
rq-redis,rq,redis,io_sleep,1000,2,2,0.423,2365.1,67.864,14.7,33641.1,64080.0,66782.6,33591.0,2
rq-redis,rq,redis,io_sleep,1000,2,3,0.437,2289.3,67.875,14.7,33714.2,64036.3,66773.3,33664.0,2
rq-redis,rq,redis,io_sleep,1000,4,1,0.462,2166.7,34.107,29.3,16791.6,31997.2,33332.5,16741.5,4
rq-redis,rq,redis,io_sleep,1000,4,2,0.448,2234.6,34.198,29.2,16854.6,32144.8,33467.6,16804.4,4
rq-redis,rq,redis,io_sleep,1000,4,3,0.468,2138.1,34.111,29.3,16961.5,31996.3,33333.0,16911.3,4
rq-simple-redis,rq,redis-simple,noop,1000,1,1,0.582,1717.9,3.577,279.6,1644.8,2856.6,2968.3,1644.8,1
rq-simple-redis,rq,redis-simple,noop,1000,1,2,0.426,2347.7,3.329,300.4,1429.6,2756.6,2875.2,1429.6,1
rq-simple-redis,rq,redis-simple,noop,1000,1,3,0.464,2156.0,3.282,304.7,1456.9,2681.4,2791.2,1456.9,1
rq-simple-redis,rq,redis-simple,noop,1000,2,1,0.521,1919.4,1.99,502.5,832.8,1410.6,1457.1,832.8,2
rq-simple-redis,rq,redis-simple,noop,1000,2,2,0.473,2114.4,1.822,548.7,671.1,1283.5,1337.7,671.1,2
rq-simple-redis,rq,redis-simple,noop,1000,2,3,0.497,2013.5,1.837,544.4,688.0,1279.1,1328.7,688.0,2
rq-simple-redis,rq,redis-simple,noop,1000,4,1,0.599,1668.6,1.211,825.5,354.0,588.5,608.6,354.0,4
rq-simple-redis,rq,redis-simple,noop,1000,4,2,0.6,1666.4,1.183,845.7,322.4,565.3,579.4,322.4,4
