config,backend,broker,kind,n,workers,repeat,enqueue_sec,enqueue_rate,drain_sec,throughput,latency_p50_ms,latency_p95_ms,latency_p99_ms,wait_p50_ms,workers_seen
celery-rabbitmq-confirm,celery,rabbitmq-confirm,noop,5000,2,1,23.836,209.8,4.779,1046.2,1.79,2.32,2.59,1.79,2
celery-rabbitmq-confirm,celery,rabbitmq-confirm,noop,5000,2,2,24.393,205.0,4.764,1049.5,1.81,2.17,2.56,1.81,2
celery-rabbitmq-confirm,celery,rabbitmq-confirm,noop,5000,2,3,23.414,213.5,4.665,1071.9,2.0,2.59,2.94,2.0,2
celery-rabbitmq-confirm,celery,rabbitmq-confirm,noop,5000,4,1,24.055,207.9,2.914,1715.8,2.49,3.66,4.51,2.49,4
celery-rabbitmq-confirm,celery,rabbitmq-confirm,noop,5000,4,2,23.227,215.3,3.033,1648.6,2.06,2.42,2.58,2.06,4
celery-rabbitmq-confirm,celery,rabbitmq-confirm,noop,5000,4,3,23.756,210.5,3.29,1519.9,2.0,2.4,2.44,2.0,4
celery-rabbitmq-confirm,celery,rabbitmq-confirm,cpu_small,1000,1,1,4.669,214.2,51.34,19.5,49.82,70.4,100.63,2.25,1
celery-rabbitmq-confirm,celery,rabbitmq-confirm,cpu_small,1000,1,2,4.736,211.2,51.336,19.5,48.89,79.17,102.89,2.27,1
celery-rabbitmq-confirm,celery,rabbitmq-confirm,cpu_small,1000,1,3,4.749,210.6,51.286,19.5,48.47,50.41,111.88,2.23,1
celery-rabbitmq-confirm,celery,rabbitmq-confirm,cpu_small,1000,2,1,4.793,208.6,26.865,37.2,50.41,62.76,72.4,2.57,2
celery-rabbitmq-confirm,celery,rabbitmq-confirm,cpu_small,1000,2,2,5.074,197.1,26.887,37.2,49.0,53.56,55.36,2.41,2
celery-rabbitmq-confirm,celery,rabbitmq-confirm,cpu_small,1000,2,3,4.796,208.5,26.913,37.2,48.62,100.67,100.71,2.43,2
celery-rabbitmq-confirm,celery,rabbitmq-confirm,cpu_small,1000,4,1,5.504,181.7,14.844,67.4,48.66,59.38,64.66,2.33,4
celery-rabbitmq-confirm,celery,rabbitmq-confirm,cpu_small,1000,4,2,4.568,218.9,14.744,67.8,48.49,49.72,49.98,2.4,4
celery-rabbitmq-confirm,celery,rabbitmq-confirm,cpu_small,1000,4,3,4.78,209.2,14.792,67.6,48.95,52.29,54.8,2.45,4
celery-rabbitmq-confirm,celery,rabbitmq-confirm,io_sleep,1000,1,1,4.722,211.8,58.631,17.1,55.03,56.01,56.08,4.87,1
celery-rabbitmq-confirm,celery,rabbitmq-confirm,io_sleep,1000,1,2,4.683,213.5,58.74,17.0,54.6,56.61,56.63,4.34,1
celery-rabbitmq-confirm,celery,rabbitmq-confirm,io_sleep,1000,1,3,4.808,208.0,58.629,17.1,54.97,56.48,56.54,4.71,1
celery-rabbitmq-confirm,celery,rabbitmq-confirm,io_sleep,1000,2,1,4.973,201.1,29.13,34.3,53.59,56.07,56.32,3.45,2
celery-rabbitmq-confirm,celery,rabbitmq-confirm,io_sleep,1000,2,2,4.769,209.7,29.327,34.1,54.9,56.54,56.81,4.68,2
celery-rabbitmq-confirm,celery,rabbitmq-confirm,io_sleep,1000,2,3,4.905,203.9,29.436,34.0,54.37,55.97,56.39,4.13,2
celery-rabbitmq-confirm,celery,rabbitmq-confirm,io_sleep,1000,4,1,4.713,212.2,14.475,69.1,55.03,56.96,57.57,4.88,4
